Rk;Player;Nation;Pos;Squad;Comp;Age;Born;MP;Starts;Min;90s;Goals;Shots;SoT;SoT%;G/Sh;G/SoT;ShoDist;ShoFK;ShoPK;PKatt;PasTotCmp;PasTotAtt;PasTotCmp%;PasTotDist;PasTotPrgDist;PasShoCmp;PasShoAtt;PasShoCmp%;PasMedCmp;PasMedAtt;PasMedCmp%;PasLonCmp;PasLonAtt;PasLonCmp%;Assists;PasAss;Pas3rd;PPA;CrsPA;PasProg;PasAtt;PasLive;PasDead;PasFK;TB;Sw;PasCrs;TI;CK;CkIn;CkOut;CkStr;PasCmp;PasOff;PasBlocks;SCA;ScaPassLive;ScaPassDead;ScaDrib;ScaSh;ScaFld;ScaDef;GCA;GcaPassLive;GcaPassDead;GcaDrib;GcaSh;GcaFld;GcaDef;Tkl;TklWon;TklDef3rd;TklMid3rd;TklAtt3rd;TklDri;TklDriAtt;TklDri%;TklDriPast;Blocks;BlkSh;BlkPass;Int;Tkl+Int;Clr;Err;Touches;TouDefPen;TouDef3rd;TouMid3rd;TouAtt3rd;TouAttPen;TouLive;ToAtt;ToSuc;ToSuc%;ToTkl;ToTkl%;Carries;CarTotDist;CarPrgDist;CarProg;Car3rd;CPA;CarMis;CarDis;Rec;RecProg;CrdY;CrdR;2CrdY;Fls;Fld;Off;Crs;TklW;PKwon;PKcon;OG;Recov;AerWon;AerLost;AerWon%;Cluster;Overall
1;Brenden Aaronson;USA;MFFW;Leeds United;Premier League;22;2000;20;19;1596;17.70;1;1.53;0.28;18.50;0.04;0.20;19.00;0.11;0.00;0.00;23.20;31.00;74.90;293.00;85.70;13.30;16.20;81.90;5.93;7.74;76.60;0.90;2.37;38.10;0.11;1.75;1.75;0.45;0.11;3.22;31.00;28.10;2.88;0.96;0.17;0.00;2.54;0.23;1.47;0.68;0.62;0.06;23.20;0.00;0.85;3.62;2.37;0.56;0.23;0.11;0.28;0.06;0.28;0.17;0.00;0.00;0.06;0.00;0.06;1.64;0.51;0.45;0.90;0.28;0.51;1.47;34.60;0.96;1.69;0.11;1.58;0.06;1.69;0.28;0.06;44.00;0.40;4.35;19.00;21.50;2.49;44.00;3.73;1.19;31.80;1.75;47.00;26.70;136.10;56.60;1.53;1.07;0.40;2.60;3.11;30.20;5.65;0.11;0.00;0.00;0.62;2.26;0.17;2.54;0.51;0.00;0.00;0.00;4.86;0.34;1.19;22.20;3;37.00
2;Yunis Abdelhamid;MAR;DF;Reims;Ligue 1;35;1987;22;22;1980;22.00;0;0.86;0.05;5.30;0.00;0.00;13.50;0.00;0.00;0.00;38.50;47.20;81.50;751.50;318.50;10.90;12.90;84.50;23.20;25.70;90.10;3.77;7.00;53.90;0.05;0.27;2.91;0.09;0.00;4.50;47.20;43.30;3.73;3.32;0.00;0.55;0.18;0.09;0.00;0.00;0.00;0.00;38.50;0.23;0.59;1.14;0.86;0.00;0.00;0.18;0.00;0.09;0.18;0.14;0.00;0.00;0.05;0.00;0.00;2.50;1.59;1.45;1.00;0.05;1.32;1.68;78.40;0.36;2.23;0.77;1.45;2.00;4.50;2.91;0.05;59.20;6.23;27.50;29.50;2.73;1.09;59.20;0.68;0.32;46.70;0.36;53.30;40.00;234.20;125.00;0.55;0.23;0.09;0.73;0.68;34.50;0.23;0.09;0.00;0.00;1.32;0.50;0.05;0.18;1.59;0.00;0.00;0.00;6.64;2.18;1.23;64.00;3;36.07
3;Himad Abdelli;FRA;MFFW;Angers;Ligue 1;23;1999;14;8;770;8.60;0;1.05;0.35;33.30;0.00;0.00;19.20;0.00;0.00;0.00;40.00;49.50;80.80;676.00;188.10;18.50;22.00;84.10;15.50;18.70;82.60;4.42;5.93;74.50;0.00;1.51;3.95;1.74;0.35;6.40;49.50;48.10;1.16;0.35;0.12;0.23;1.05;0.81;0.00;0.00;0.00;0.00;40.00;0.23;1.16;2.67;2.44;0.00;0.00;0.12;0.00;0.12;0.00;0.00;0.00;0.00;0.00;0.00;0.00;2.91;1.40;1.28;1.40;0.23;1.63;2.67;60.90;1.05;1.51;0.12;1.40;0.93;3.84;0.93;0.00;62.60;0.93;11.40;36.00;17.40;1.16;62.60;3.84;2.09;54.50;1.51;39.40;48.50;298.50;151.00;2.56;2.56;0.47;2.09;1.05;43.40;5.93;0.12;0.00;0.00;1.74;1.28;0.00;1.05;1.40;0.00;0.00;0.00;8.14;0.93;1.05;47.10;5;41.01
4;Salis Abdul Samed;GHA;MF;Lens;Ligue 1;22;2000;20;20;1799;20.00;1;0.60;0.15;25.00;0.08;0.33;20.30;0.00;0.00;0.00;59.50;64.90;91.60;946.30;226.90;29.60;31.80;93.20;24.70;26.20;94.30;3.35;4.30;77.90;0.00;0.50;6.00;0.55;0.10;5.60;64.90;63.10;1.40;1.30;0.05;0.20;0.35;0.10;0.00;0.00;0.00;0.00;59.50;0.35;0.40;1.60;1.35;0.00;0.10;0.10;0.00;0.05;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.50;0.80;0.55;0.85;0.10;0.85;1.30;65.40;0.45;1.30;0.35;0.95;1.10;2.60;0.80;0.00;73.30;2.10;12.00;49.60;12.20;0.70;73.30;1.25;0.70;56.00;0.40;32.00;61.00;316.90;117.50;1.25;1.95;0.15;1.35;1.30;56.50;1.70;0.15;0.00;0.00;2.45;1.35;0.00;0.35;0.80;0.00;0.00;0.05;6.60;0.50;0.50;50.00;4;33.24
5;Laurent Abergel;FRA;MF;Lorient;Ligue 1;30;1993;15;15;1165;12.90;0;0.31;0.00;0.00;0.00;0.00;23.90;0.00;0.00;0.00;37.90;43.40;87.30;613.60;224.70;17.90;19.40;92.40;15.70;17.80;88.60;2.64;3.95;66.70;0.08;0.62;3.88;0.39;0.00;5.04;43.40;42.60;0.78;0.78;0.39;0.16;0.23;0.00;0.00;0.00;0.00;0.00;37.90;0.08;0.31;1.24;1.01;0.08;0.00;0.08;0.00;0.08;0.08;0.08;0.00;0.00;0.00;0.00;0.00;3.80;2.02;2.64;1.16;0.00;1.32;3.26;40.50;1.94;1.40;0.23;1.16;1.16;4.96;1.55;0.00;54.70;3.26;19.20;31.40;4.88;0.23;54.70;0.93;0.54;58.30;0.31;33.30;41.00;174.30;72.70;0.47;0.93;0.00;1.32;0.78;36.40;0.47;0.16;0.00;0.00;0.93;1.01;0.00;0.23;2.02;0.00;0.00;0.00;6.51;0.31;0.39;44.40;8;29.73
6;Oliver Abildgaard;DEN;MF;Hellas Verona;Serie A;26;1996;1;0;11;0.10;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;20.00;30.00;66.70;310.00;90.00;10.00;10.00;100.00;10.00;10.00;100.00;0.00;10.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;30.00;30.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;20.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;10.00;10.00;0.00;0.00;10.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;10.00;0.00;0.00;50.00;0.00;20.00;20.00;10.00;0.00;50.00;0.00;0.00;0.00;0.00;0.00;10.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;10.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;10.00;0.00;0.00;0.00;10.00;0.00;10.00;0.00;0;18.17
7;Matthis Abline;FRA;FWMF;Auxerre;Ligue 1;19;2003;5;2;185;2.10;1;4.29;1.43;33.30;0.11;0.33;20.40;0.00;0.00;0.00;7.14;10.00;71.40;139.50;40.00;1.43;2.38;60.00;4.76;5.24;90.90;0.48;0.95;50.00;0.00;0.00;0.48;1.43;0.48;1.90;10.00;9.05;0.95;0.00;0.00;0.00;0.95;0.00;0.00;0.00;0.00;0.00;7.14;0.00;0.48;0.48;0.48;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.43;0.48;0.00;0.95;0.48;0.00;0.95;0.00;0.95;0.48;0.00;0.48;0.48;1.90;0.48;0.00;25.70;0.48;1.43;11.40;12.90;6.67;25.70;1.43;0.48;33.30;0.95;66.70;17.10;97.10;10.50;1.43;0.00;0.95;7.62;3.33;19.00;6.67;0.00;0.00;0.00;0.95;1.43;0.48;0.95;0.48;0.00;0.00;0.00;0.48;1.43;1.43;50.00;5;53.07
8;Matthis Abline;FRA;FWMF;Rennes;Ligue 1;19;2003;11;0;107;1.20;1;5.00;1.67;33.30;0.17;0.50;12.20;0.00;0.00;0.00;5.83;12.50;46.70;107.50;25.00;2.50;5.00;50.00;2.50;3.33;75.00;0.83;0.83;100.00;0.00;1.67;0.83;0.83;0.00;1.67;12.50;12.50;0.00;0.00;0.83;0.00;1.67;0.00;0.00;0.00;0.00;0.00;5.83;0.00;0.83;5.83;1.67;0.00;0.00;2.50;0.83;0.83;1.67;0.00;0.00;0.00;0.00;0.83;0.83;0.83;0.83;0.00;0.00;0.83;0.83;0.83;100.00;0.00;0.83;0.00;0.83;1.67;2.50;0.83;0.00;30.80;0.83;0.83;12.50;18.30;12.50;30.80;0.00;0.00;0.00;0.00;0.00;22.50;145.00;87.50;3.33;0.83;1.67;8.33;0.83;22.50;9.17;0.00;0.00;0.00;2.50;4.17;0.83;1.67;0.83;0.83;0.00;0.00;1.67;0.83;3.33;20.00;5;53.07
9;Abner;BRA;DF;Betis;La Liga;22;2000;4;3;272;3.00;0;0.67;0.33;50.00;0.00;0.00;7.80;0.00;0.00;0.00;39.00;54.30;71.80;590.00;265.30;20.70;23.30;88.60;13.30;20.00;66.70;2.33;5.67;41.20;0.00;0.00;3.00;0.33;0.00;3.33;54.30;42.30;11.70;0.33;0.00;0.67;1.33;11.30;0.00;0.00;0.00;0.00;39.00;0.33;2.33;1.00;0.67;0.00;0.33;0.00;0.00;0.00;0.33;0.33;0.00;0.00;0.00;0.00;0.00;2.67;2.33;2.33;0.33;0.00;2.00;2.33;85.70;0.33;1.33;0.67;0.67;2.00;4.67;2.67;0.00;65.70;4.67;20.70;30.70;15.00;1.67;65.70;1.33;0.33;25.00;1.00;75.00;30.30;112.70;67.30;0.67;0.67;0.33;1.00;0.67;35.00;3.67;0.00;0.00;0.00;0.67;0.67;0.00;1.33;2.33;0.00;0.00;0.00;6.00;1.00;2.00;33.30;4;35.01
10;Zakaria Aboukhlal;MAR;FWMF;Toulouse;Ligue 1;22;2000;22;17;1507;16.70;5;2.75;1.02;37.00;0.11;0.29;18.10;0.00;0.00;0.00;17.60;25.30;69.70;219.50;49.60;11.70;14.90;79.00;4.43;6.17;71.80;0.24;0.84;28.60;0.24;0.54;0.78;0.42;0.06;1.80;25.30;24.30;0.84;0.06;0.06;0.00;0.96;0.78;0.00;0.00;0.00;0.00;17.60;0.18;1.56;2.34;1.32;0.00;0.18;0.36;0.42;0.06;0.24;0.12;0.00;0.06;0.00;0.06;0.00;1.14;0.72;0.54;0.30;0.30;0.30;1.32;22.70;1.02;0.54;0.06;0.48;0.84;1.98;0.66;0.00;38.00;0.96;5.45;14.60;18.70;4.97;38.00;3.17;1.02;32.10;1.86;58.50;28.60;177.70;74.70;3.05;1.08;1.14;2.57;0.96;27.10;9.52;0.18;0.00;0.00;1.56;1.80;0.72;0.96;0.72;0.00;0.00;0.00;4.43;0.42;1.32;24.10;9;55.08
